model,layer,category,name,model_buffer,normal_execution_storage,precision,bytes,shape
"Target","9","Routed expert banks","blk.9.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","10","Routed expert banks","blk.10.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","10","Routed expert banks","blk.10.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","10","Routed expert banks","blk.10.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","11","Routed expert banks","blk.11.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","11","Routed expert banks","blk.11.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","11","Routed expert banks","blk.11.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","12","Routed expert banks","blk.12.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","12","Routed expert banks","blk.12.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","12","Routed expert banks","blk.12.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","13","Routed expert banks","blk.13.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","13","Routed expert banks","blk.13.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","13","Routed expert banks","blk.13.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","14","Routed expert banks","blk.14.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","14","Routed expert banks","blk.14.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","14","Routed expert banks","blk.14.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","15","Routed expert banks","blk.15.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","15","Routed expert banks","blk.15.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","15","Routed expert banks","blk.15.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","16","Routed expert banks","blk.16.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","16","Routed expert banks","blk.16.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","16","Routed expert banks","blk.16.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","17","Routed expert banks","blk.17.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","17","Routed expert banks","blk.17.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","17","Routed expert banks","blk.17.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","18","Routed expert banks","blk.18.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","18","Routed expert banks","blk.18.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","18","Routed expert banks","blk.18.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","19","Routed expert banks","blk.19.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","19","Routed expert banks","blk.19.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","19","Routed expert banks","blk.19.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","20","Routed expert banks","blk.20.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","20","Routed expert banks","blk.20.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","20","Routed expert banks","blk.20.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","21","Routed expert banks","blk.21.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","21","Routed expert banks","blk.21.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","21","Routed expert banks","blk.21.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","22","Routed expert banks","blk.22.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","22","Routed expert banks","blk.22.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","22","Routed expert banks","blk.22.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","23","Routed expert banks","blk.23.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","23","Routed expert banks","blk.23.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","23","Routed expert banks","blk.23.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","24","Routed expert banks","blk.24.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","24","Routed expert banks","blk.24.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","24","Routed expert banks","blk.24.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","25","Routed expert banks","blk.25.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","25","Routed expert banks","blk.25.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","25","Routed expert banks","blk.25.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","26","Routed expert banks","blk.26.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","26","Routed expert banks","blk.26.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","26","Routed expert banks","blk.26.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","27","Routed expert banks","blk.27.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","27","Routed expert banks","blk.27.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","27","Routed expert banks","blk.27.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","28","Routed expert banks","blk.28.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","28","Routed expert banks","blk.28.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","28","Routed expert banks","blk.28.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","29","Routed expert banks","blk.29.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","29","Routed expert banks","blk.29.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","29","Routed expert banks","blk.29.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","30","Routed expert banks","blk.30.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","30","Routed expert banks","blk.30.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","30","Routed expert banks","blk.30.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","31","Routed expert banks","blk.31.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","31","Routed expert banks","blk.31.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","31","Routed expert banks","blk.31.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","32","Routed expert banks","blk.32.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","32","Routed expert banks","blk.32.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","32","Routed expert banks","blk.32.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","33","Routed expert banks","blk.33.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","33","Routed expert banks","blk.33.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","33","Routed expert banks","blk.33.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","34","Routed expert banks","blk.34.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","34","Routed expert banks","blk.34.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","34","Routed expert banks","blk.34.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","35","Routed expert banks","blk.35.ffn_down_exps.weight","CPU_Mapped","CPU_Mapped","iq4_nl","471859200","640,2560,512,1"
"Target","35","Routed expert banks","blk.35.ffn_gate_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","35","Routed expert banks","blk.35.ffn_up_exps.weight","CPU_Mapped","CPU_Mapped","iq2_s","268697600","2560,640,512,1"
"Target","36","Routed expert banks","blk.36.ffn_down_exps.weight","CPU_Mapped","CPU view of staged RAM","iq4_nl","471859200","640,2560,512,1"
"Target","36","Routed expert banks","blk.36.ffn_gate_exps.weight","CPU_Mapped","CPU view of staged RAM","iq2_s","268697600","2560,640,512,1"
"Target","36","Routed expert banks","blk.36.ffn_up_exps.weight","CPU_Mapped","CPU view of staged RAM","iq2_s","268697600","2560,640,512,1"
"Target","37","Routed expert banks","blk.37.ffn_down_exps.weight","CPU_Mapped","CPU view of staged RAM","iq4_nl","471859200","640,2560,512,1"
"Target","37","Routed expert banks","blk.37.ffn_gate_exps.weight","CPU_Mapped","CPU view of staged RAM","iq2_s","268697600","2560,640,512,1"
"Target","37","Routed expert banks","blk.37.ffn_up_exps.weight","CPU_Mapped","CPU view of staged RAM","iq2_s","268697600","2560,640,512,1"
"Target","38","Routed expert banks","blk.38.ffn_down_exps.weight","CPU_Mapped","CPU view of staged RAM","iq4_nl","471859200","640,2560,512,1"
"Target","38","Routed expert banks","blk.38.ffn_gate_exps.weight","CPU_Mapped","CPU view of staged RAM","iq2_s","268697600","2560,640,512,1"
"Target","38","Routed expert banks","blk.38.ffn_up_exps.weight","CPU_Mapped","CPU view of staged RAM","iq2_s","268697600","2560,640,512,1"
"Target","39","Routed expert banks","blk.39.ffn_down_exps.weight","CPU_Mapped","CPU view of staged RAM","iq4_nl","471859200","640,2560,512,1"
"Target","39","Routed expert banks","blk.39.ffn_gate_exps.weight","CPU_Mapped","CPU view of staged RAM","iq2_s","268697600","2560,640,512,1"
"Target","39","Routed expert banks","blk.39.ffn_up_exps.weight","CPU_Mapped","CPU view of staged RAM","iq2_s","268697600","2560,640,512,1"
"Target","-1","Hyperconnection mixers","output_hc_norm.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","-1","Hyperconnection mixers","output_hc_down.weight","Vulkan0","Vulkan0","q8_0","3481600","10240,320,1,1"
"Target","-1","Hyperconnection mixers","output_hc_up.weight","Vulkan0","Vulkan0","q8_0","3481600","320,10240,1,1"
"Target","-1","Output projection","output.weight","Vulkan0","Vulkan0","q8_0","675430400","2560,248320,1,1"
"Target","0","Hyperconnection mixers","blk.0.hc_attn_norm.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","0","Hyperconnection mixers","blk.0.hc_attn_down.weight","Vulkan0","Vulkan0","q8_0","3481600","10240,320,1,1"
"Target","0","Hyperconnection mixers","blk.0.hc_attn_up.weight","Vulkan0","Vulkan0","q8_0","3481600","320,10240,1,1"
"Target","0","Hyperconnection mixers","blk.0.hc_attn_inject.weight","Vulkan0","Vulkan0","q8_0","43520","10240,4,1,1"
"Target","0","Hyperconnection mixers","blk.0.hc_ffn_norm.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","0","Hyperconnection mixers","blk.0.hc_ffn_down.weight","Vulkan0","Vulkan0","q8_0","3481600","10240,320,1,1"
"Target","0","Hyperconnection mixers","blk.0.hc_ffn_up.weight","Vulkan0","Vulkan0","q8_0","3481600","320,10240,1,1"
"Target","0","Hyperconnection mixers","blk.0.hc_ffn_inject.weight","Vulkan0","Vulkan0","q8_0","43520","10240,4,1,1"
"Target","0","Attention and indexer weights","blk.0.attn_qkv.weight","Vulkan0","Vulkan0","q8_0","27852800","2560,10240,1,1"
"Target","0","Attention and indexer weights","blk.0.attn_gate.weight","Vulkan0","Vulkan0","q8_0","16711680","2560,6144,1,1"
"Target","0","Recurrent layer weights","blk.0.ssm_conv1d.weight","Vulkan0","Vulkan0","f32","163840","4,10240,1,1"
"Target","0","Recurrent layer weights","blk.0.ssm_dt.bias","Vulkan0","Vulkan0","f32","192","48,1,1,1"
"Target","0","Recurrent layer weights","blk.0.ssm_a","Vulkan0","Vulkan0","f32","192","48,1,1,1"
"Target","0","Recurrent layer weights","blk.0.ssm_beta.weight","Vulkan0","Vulkan0","q8_0","130560","2560,48,1,1"
"Target","0","Recurrent layer weights","blk.0.ssm_alpha.weight","Vulkan0","Vulkan0","q8_0","130560","2560,48,1,1"
"Target","0","Recurrent layer weights","blk.0.ssm_norm.weight","Vulkan0","Vulkan0","f32","512","128,1,1,1"
"Target","0","Recurrent layer weights","blk.0.ssm_out.weight","Vulkan0","Vulkan0","q8_0","16711680","6144,2560,1,1"
"Target","0","Expert routers","blk.0.ffn_gate_inp.weight","Vulkan0","Vulkan0","f32","5242880","2560,512,1,1"
"Target","0","Shared experts","blk.0.ffn_gate_inp_shexp.weight","Vulkan0","Vulkan0","f32","10240","2560,1,1,1"
"Target","0","Shared experts","blk.0.ffn_gate_shexp.weight","Vulkan0","Vulkan0","q8_0","1740800","2560,640,1,1"
"Target","0","Shared experts","blk.0.ffn_up_shexp.weight","Vulkan0","Vulkan0","q8_0","1740800","2560,640,1,1"
"Target","0","Shared experts","blk.0.ffn_down_shexp.weight","Vulkan0","Vulkan0","q8_0","1740800","640,2560,1,1"
"Target","1","Hyperconnection mixers","blk.1.hc_attn_norm.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","1","Hyperconnection mixers","blk.1.hc_attn_down.weight","Vulkan0","Vulkan0","q8_0","3481600","10240,320,1,1"
"Target","1","Hyperconnection mixers","blk.1.hc_attn_up.weight","Vulkan0","Vulkan0","q8_0","3481600","320,10240,1,1"
"Target","1","Hyperconnection mixers","blk.1.hc_attn_inject.weight","Vulkan0","Vulkan0","q8_0","43520","10240,4,1,1"
"Target","1","Hyperconnection mixers","blk.1.hc_ffn_norm.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","1","Hyperconnection mixers","blk.1.hc_ffn_down.weight","Vulkan0","Vulkan0","q8_0","3481600","10240,320,1,1"
"Target","1","Hyperconnection mixers","blk.1.hc_ffn_up.weight","Vulkan0","Vulkan0","q8_0","3481600","320,10240,1,1"
"Target","1","Hyperconnection mixers","blk.1.hc_ffn_inject.weight","Vulkan0","Vulkan0","q8_0","43520","10240,4,1,1"
"Target","1","Attention and indexer weights","blk.1.attn_qkv.weight","Vulkan0","Vulkan0","q8_0","27852800","2560,10240,1,1"
"Target","1","Attention and indexer weights","blk.1.attn_gate.weight","Vulkan0","Vulkan0","q8_0","16711680","2560,6144,1,1"
"Target","1","Recurrent layer weights","blk.1.ssm_conv1d.weight","Vulkan0","Vulkan0","f32","163840","4,10240,1,1"
"Target","1","Recurrent layer weights","blk.1.ssm_dt.bias","Vulkan0","Vulkan0","f32","192","48,1,1,1"
"Target","1","Recurrent layer weights","blk.1.ssm_a","Vulkan0","Vulkan0","f32","192","48,1,1,1"
"Target","1","Recurrent layer weights","blk.1.ssm_beta.weight","Vulkan0","Vulkan0","q8_0","130560","2560,48,1,1"
"Target","1","Recurrent layer weights","blk.1.ssm_alpha.weight","Vulkan0","Vulkan0","q8_0","130560","2560,48,1,1"
"Target","1","Recurrent layer weights","blk.1.ssm_norm.weight","Vulkan0","Vulkan0","f32","512","128,1,1,1"
"Target","1","Recurrent layer weights","blk.1.ssm_out.weight","Vulkan0","Vulkan0","q8_0","16711680","6144,2560,1,1"
"Target","1","Other dense weights","blk.1.ple_key.weight","Vulkan0","Vulkan0","q8_0","27852800","2560,10240,1,1"
"Target","1","Other dense weights","blk.1.ple_value.weight","Vulkan0","Vulkan0","q8_0","6963200","2560,2560,1,1"
"Target","1","Other dense weights","blk.1.ple_norm_key.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","1","Other dense weights","blk.1.ple_norm_query.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","1","Other dense weights","blk.1.ple_norm_conv.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","1","Other dense weights","blk.1.ple_conv1d.weight","Vulkan0","Vulkan0","f16","81920","4,10240,1,1"
"Target","1","Expert routers","blk.1.ffn_gate_inp.weight","Vulkan0","Vulkan0","f32","5242880","2560,512,1,1"
"Target","1","Shared experts","blk.1.ffn_gate_inp_shexp.weight","Vulkan0","Vulkan0","f32","10240","2560,1,1,1"
"Target","1","Shared experts","blk.1.ffn_gate_shexp.weight","Vulkan0","Vulkan0","q8_0","1740800","2560,640,1,1"
"Target","1","Shared experts","blk.1.ffn_up_shexp.weight","Vulkan0","Vulkan0","q8_0","1740800","2560,640,1,1"
"Target","1","Shared experts","blk.1.ffn_down_shexp.weight","Vulkan0","Vulkan0","q8_0","1740800","640,2560,1,1"
"Target","2","Hyperconnection mixers","blk.2.hc_attn_norm.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","2","Hyperconnection mixers","blk.2.hc_attn_down.weight","Vulkan0","Vulkan0","q8_0","3481600","10240,320,1,1"
"Target","2","Hyperconnection mixers","blk.2.hc_attn_up.weight","Vulkan0","Vulkan0","q8_0","3481600","320,10240,1,1"
"Target","2","Hyperconnection mixers","blk.2.hc_attn_inject.weight","Vulkan0","Vulkan0","q8_0","43520","10240,4,1,1"
"Target","2","Hyperconnection mixers","blk.2.hc_ffn_norm.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","2","Hyperconnection mixers","blk.2.hc_ffn_down.weight","Vulkan0","Vulkan0","q8_0","3481600","10240,320,1,1"
"Target","2","Hyperconnection mixers","blk.2.hc_ffn_up.weight","Vulkan0","Vulkan0","q8_0","3481600","320,10240,1,1"
"Target","2","Hyperconnection mixers","blk.2.hc_ffn_inject.weight","Vulkan0","Vulkan0","q8_0","43520","10240,4,1,1"
"Target","2","Attention and indexer weights","blk.2.attn_qkv.weight","Vulkan0","Vulkan0","q8_0","27852800","2560,10240,1,1"
"Target","2","Attention and indexer weights","blk.2.attn_gate.weight","Vulkan0","Vulkan0","q8_0","16711680","2560,6144,1,1"
"Target","2","Recurrent layer weights","blk.2.ssm_conv1d.weight","Vulkan0","Vulkan0","f32","163840","4,10240,1,1"
"Target","2","Recurrent layer weights","blk.2.ssm_dt.bias","Vulkan0","Vulkan0","f32","192","48,1,1,1"
"Target","2","Recurrent layer weights","blk.2.ssm_a","Vulkan0","Vulkan0","f32","192","48,1,1,1"
"Target","2","Recurrent layer weights","blk.2.ssm_beta.weight","Vulkan0","Vulkan0","q8_0","130560","2560,48,1,1"
"Target","2","Recurrent layer weights","blk.2.ssm_alpha.weight","Vulkan0","Vulkan0","q8_0","130560","2560,48,1,1"
"Target","2","Recurrent layer weights","blk.2.ssm_norm.weight","Vulkan0","Vulkan0","f32","512","128,1,1,1"
"Target","2","Recurrent layer weights","blk.2.ssm_out.weight","Vulkan0","Vulkan0","q8_0","16711680","6144,2560,1,1"
"Target","2","Expert routers","blk.2.ffn_gate_inp.weight","Vulkan0","Vulkan0","f32","5242880","2560,512,1,1"
"Target","2","Shared experts","blk.2.ffn_gate_inp_shexp.weight","Vulkan0","Vulkan0","f32","10240","2560,1,1,1"
"Target","2","Shared experts","blk.2.ffn_gate_shexp.weight","Vulkan0","Vulkan0","q8_0","1740800","2560,640,1,1"
"Target","2","Shared experts","blk.2.ffn_up_shexp.weight","Vulkan0","Vulkan0","q8_0","1740800","2560,640,1,1"
"Target","2","Shared experts","blk.2.ffn_down_shexp.weight","Vulkan0","Vulkan0","q8_0","1740800","640,2560,1,1"
"Target","3","Hyperconnection mixers","blk.3.hc_attn_norm.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","3","Hyperconnection mixers","blk.3.hc_attn_down.weight","Vulkan0","Vulkan0","q8_0","3481600","10240,320,1,1"
"Target","3","Hyperconnection mixers","blk.3.hc_attn_up.weight","Vulkan0","Vulkan0","q8_0","3481600","320,10240,1,1"
"Target","3","Hyperconnection mixers","blk.3.hc_attn_inject.weight","Vulkan0","Vulkan0","q8_0","43520","10240,4,1,1"
"Target","3","Hyperconnection mixers","blk.3.hc_ffn_norm.weight","Vulkan0","Vulkan0","f32","40960","10240,1,1,1"
"Target","3","Hyperconnection mixers","blk.3.hc_ffn_down.weight","Vulkan0","Vulkan0","q8_0","3481600","10240,320,1,1"
"Target","3","Hyperconnection mixers","blk.3.hc_ffn_up.weight","Vulkan0","Vulkan0","q8_0","3481600","320,10240,1,1"
"Target","3","Hyperconnection mixers","blk.3.hc_ffn_inject.weight","Vulkan0","Vulkan0","q8_0","43520","10240,4,1,1"
"Target","3","Attention and indexer weights","blk.3.attn_q.weight","Vulkan0","Vulkan0","q8_0","33423360","2560,12288,1,1"
